,Title,director,actors,Genre,id,Image_url,Average_vote,Runtime,imdb_link
0,West Side Story,Steven Spielberg,Ansel Elgort Rachel Zegler Ariana DeBose,Drama Romance,511809,https://image.tmdb.org/t/p/w500//lnUxSldaVI0mYCCf2akyQpbTFgr.jpg,7.147,157min,https://www.imdb.com/title/tt3581652
1,Don't Look Up,Adam McKay,Leonardo DiCaprio Jennifer Lawrence Rob Morgan,Comedy Drama,646380,https://image.tmdb.org/t/p/w500//th4E1yqsE8DGpAseLiUrI60Hf8V.jpg,7.205,138min,https://www.imdb.com/title/tt11286314
2,The Hating Game,Peter Hutchings,Lucy Hale Austin Stowell Damon Daunno,Romance Comedy,603661,https://image.tmdb.org/t/p/w500//prbZxJxGcy07y60eq8lCGMciTYz.jpg,7.517,102min,https://www.imdb.com/title/tt8718158
3,South Park: Post Covid: The Return of Covid,Trey Parker,Matt Stone Mona Marshall Kimberly Brooks,Animation Comedy,874300,https://image.tmdb.org/t/p/w500//xD88mrJ8hsqYVqQ6kinNNGQLdg1.jpg,7.502,62min,https://www.imdb.com/title/tt16375288
4,Spider-Man: No Way Home,Jon Watts,Tom Holland Benedict Cumberbatch Zendaya,Action Adventure,634649,https://image.tmdb.org/t/p/w500//uJYYizSuA9Y3DCs0qS4qWvHfZg4.jpg,8.046,148min,https://www.imdb.com/title/tt10872600
5,Nightmare Alley,Guillermo del Toro,Bradley Cooper Cate Blanchett Toni Collette,Crime Drama,597208,https://image.tmdb.org/t/p/w500//680klE0dIreQQOyWKFgNnCAJtws.jpg,7.033,150min,https://www.imdb.com/title/tt7740496
6,Swan Song,Benjamin Cleary,Mahershala Ali Naomie Harris Glenn Close,Drama Science,765245,https://image.tmdb.org/t/p/w500//y0WW5vX58oMEg9aRRTB5QtG1Vyn.jpg,7.334,112min,https://www.imdb.com/title/tt13207508
7,Sing 2,Garth Jennings,Matthew McConaughey Reese Witherspoon Scarlett Johansson,Animation Comedy,438695,https://image.tmdb.org/t/p/w500//aWeKITRFbbwY8txG5uCj4rMCfSP.jpg,8.0,110min,https://www.imdb.com/title/tt6467266
8,A Journal for Jordan,Denzel Washington,Michael B. Jordan Chanté Adams Jalon Christian,Drama Romance,501841,https://image.tmdb.org/t/p/w500//kkZB0HbADmyVuQyd5SpncK8INXJ.jpg,7.5,131min,https://www.imdb.com/title/tt0995854
9,American Underdog,Erwin brothers,Zachary Levi Anna Paquin Dennis Quaid,Drama,673309,https://image.tmdb.org/t/p/w500//u3iXpvLPG4DbmuNY9yPjn1Ei54.jpg,7.431,112min,https://www.imdb.com/title/tt11729298
10,The Legend of La Llorona,Patricia Harris Seeley,Autumn Reeser Antonio Cupo Danny Trejo,Family Animation,116322,https://image.tmdb.org/t/p/w500//vBiqoYfDIWKKzZTiQScqgCO09UD.jpg,7.73,81min,https://www.imdb.com/title/tt1828224
11,Hotel Transylvania: Transformania,Jennifer Kluska,Andy Samberg Selena Gomez Kathryn Hahn,Animation Family,585083,https://image.tmdb.org/t/p/w500//teCy1egGQa0y8ULJvlrDHQKnxBL.jpg,7.129,87min,https://www.imdb.com/title/tt9848626
12,Redeeming Love,D.J. Caruso,Abigail Cowen Tom Lewis Logan Marshall-Green,Drama History,698508,https://image.tmdb.org/t/p/w500//z8VpsTdIjBhdeGeNEsHFwz6MJXp.jpg,7.873,134min,https://www.imdb.com/title/tt11365186
13,The King's Daughter,Sean McNamara,Pierce Brosnan Kaya Scodelario Benjamin Walker,Fantasy Drama,245842,https://image.tmdb.org/t/p/w500//zwRf07ECh7nV7xlahKzN5wFYhGx.jpg,7.291,94min,https://www.imdb.com/title/tt2328678
14,The Fallout,Megan Park,Jenna Ortega Maddie Ziegler Niles Fitch,Drama,795514,https://image.tmdb.org/t/p/w500//4ByHl9XRKR2iXbvF0ZilMRD1RcL.jpg,7.503,96min,https://www.imdb.com/title/tt11847410
15,Shut In,D.J. Caruso,Rainey Qualley Jake Horowitz Luciana VanDette,Horror Thriller,629015,https://image.tmdb.org/t/p/w500//b5ug4LyLQFeR6azAJyIPBQz5ur9.jpg,7.173,90min,https://www.imdb.com/title/tt10131024
16,The In Between,Arie Posin,Joey King Kyle Allen Kim Dickens,Romance Science,818750,https://image.tmdb.org/t/p/w500//7RcyjraM1cB1Uxy2W9ZWrab4KCw.jpg,7.323,116min,https://www.imdb.com/title/tt8851148
17,Uncharted,Ruben Fleischer,Tom Holland Mark Wahlberg Sophia Ali,Action Adventure,335787,https://image.tmdb.org/t/p/w500//rJHC1RUORuUhtfNb4Npclx0xnOf.jpg,7.151,116min,https://www.imdb.com/title/tt1464335
18,Dog,Reid Carolin,Channing Tatum Jane Adams Kevin Nash,Drama Comedy,626735,https://image.tmdb.org/t/p/w500//zHQy4h36WwuCetKS7C3wcT1hkgA.jpg,7.423,102min,https://www.imdb.com/title/tt11252248
19,No Exit,Damien Power,Havana Rose Liu Danny Ramirez Dennis Haysbert,Horror Thriller,833425,https://image.tmdb.org/t/p/w500//5cnLoWq9o5tuLe1Zq4BTX4LwZ2B.jpg,7.021,96min,https://www.imdb.com/title/tt7550014
20,The Batman,Matt Reeves,Robert Pattinson Zoë Kravitz Paul Dano,Crime Mystery,414906,https://image.tmdb.org/t/p/w500//74xTEgt7R36Fpooo50r9T25onhq.jpg,7.749,177min,https://www.imdb.com/title/tt1877830
21,The Adam Project,Shawn Levy,Ryan Reynolds Mark Ruffalo Jennifer Garner,Action Adventure,696806,https://image.tmdb.org/t/p/w500//wFjboE0aFZNbVOF05fzrka9Fqyx.jpg,7.099,106min,https://www.imdb.com/title/tt2463208
